country;year;sex;age;suicides_no;population;suicides/100k pop;country-year;HDI for year; gdp_for_year ($);gdp_per_capita ($);generation
Albania;1989;female;55-74 years;1,00;149.600;0.67;Albania1989;; $2.335.124.988,00 ; $833,00 ;G.I. Generation
Albania;1989;female;5-14 years;0,00;321.900;0,00;Albania1989;; $2.335.124.988,00 ; $833,00 ;Generation X
Albania;1989;female;75+ years;0,00;37.000;0,00;Albania1989;; $2.335.124.988,00 ; $833,00 ;G.I. Generation
Albania;1989;male;5-14 years;0,00;349.700;0,00;Albania1989;; $2.335.124.988,00 ; $833,00 ;Generation X
Albania;1992;male;35-54 years;12,00;343.800;3.49;Albania1992;; $709.452.584,00 ; $251,00 ;Boomers
Albania;1992;male;15-24 years;9,00;263.700;3.41;Albania1992;; $709.452.584,00 ; $251,00 ;Generation X
Albania;1992;male;55-74 years;5,00;159.500;3.13;Albania1992;; $709.452.584,00 ; $251,00 ;Silent
Albania;1992;male;25-34 years;7,00;245.500;2.85;Albania1992;; $709.452.584,00 ; $251,00 ;Boomers
Albania;1992;female;15-24 years;7,00;292.400;2.39;Albania1992;; $709.452.584,00 ; $251,00 ;Generation X
Albania;1992;female;25-34 years;4,00;267.400;1.5;Albania1992;; $709.452.584,00 ; $251,00 ;Boomers
Albania;1992;female;35-54 years;2,00;323.100;0.62;Albania1992;; $709.452.584,00 ; $251,00 ;Boomers
Albania;1992;female;55-74 years;1,00;164.900;0.61;Albania1992;; $709.452.584,00 ; $251,00 ;Silent
Albania;1992;female;5-14 years;0,00;336.700;0,00;Albania1992;; $709.452.584,00 ; $251,00 ;Millenials
Albania;1992;female;75+ years;0,00;38.700;0,00;Albania1992;; $709.452.584,00 ; $251,00 ;G.I. Generation
Albania;1992;male;5-14 years;0,00;362.900;0,00;Albania1992;; $709.452.584,00 ; $251,00 ;Millenials
Albania;1992;male;75+ years;0,00;23.900;0,00;Albania1992;; $709.452.584,00 ; $251,00 ;G.I. Generation
Albania;1993;male;15-24 years;18,00;243.300;7.4;Albania1993;; $1.228.071.038,00 ; $437,00 ;Generation X
Albania;1993;male;55-74 years;7,00;165.000;4.24;Albania1993;; $1.228.071.038,00 ; $437,00 ;Silent
Albania;1993;male;75+ years;1,00;24.200;4.13;Albania1993;; $1.228.071.038,00 ; $437,00 ;G.I. Generation
Albania;1993;male;25-34 years;9,00;230.100;3.91;Albania1993;; $1.228.071.038,00 ; $437,00 ;Boomers
Albania;1993;female;15-24 years;10,00;285.300;3.51;Albania1993;; $1.228.071.038,00 ; $437,00 ;Generation X
Albania;1993;male;35-54 years;10,00;350.300;2.85;Albania1993;; $1.228.071.038,00 ; $437,00 ;Boomers
Albania;1993;female;25-34 years;7,00;261.800;2.67;Albania1993;; $1.228.071.038,00 ; $437,00 ;Boomers
Albania;1993;female;35-54 years;7,00;331.200;2.11;Albania1993;; $1.228.071.038,00 ; $437,00 ;Boomers
Albania;1993;female;55-74 years;2,00;169.500;1.18;Albania1993;; $1.228.071.038,00 ; $437,00 ;Silent
Albania;1993;female;5-14 years;1,00;340.300;0.29;Albania1993;; $1.228.071.038,00 ; $437,00 ;Millenials
Albania;1993;male;5-14 years;1,00;367.000;0.27;Albania1993;; $1.228.071.038,00 ; $437,00 ;Millenials
Albania;1993;female;75+ years;0,00;39.300;0,00;Albania1993;; $1.228.071.038,00 ; $437,00 ;G.I. Generation
Albania;1994;male;75+ years;2,00;24.600;8.13;Albania1994;; $1.985.673.798,00 ; $697,00 ;G.I. Generation
Albania;1994;male;55-74 years;11,00;171.400;6.42;Albania1994;; $1.985.673.798,00 ; $697,00 ;Silent
Albania;1994;female;75+ years;2,00;39.900;5.01;Albania1994;; $1.985.673.798,00 ; $697,00 ;G.I. Generation
Albania;1994;male;25-34 years;6,00;231.400;2.59;Albania1994;; $1.985.673.798,00 ; $697,00 ;Boomers
Albania;1994;male;35-54 years;9,00;362.800;2.48;Albania1994;; $1.985.673.798,00 ; $697,00 ;Boomers
Albania;1994;male;15-24 years;6,00;242.200;2.48;Albania1994;; $1.985.673.798,00 ; $697,00 ;Generation X
Albania;1994;female;15-24 years;6,00;282.600;2.12;Albania1994;; $1.985.673.798,00 ; $697,00 ;Generation X
Albania;1994;female;25-34 years;4,00;261.100;1.53;Albania1994;; $1.985.673.798,00 ; $697,00 ;Boomers
Albania;1994;female;35-54 years;2,00;342.500;0.58;Albania1994;; $1.985.673.798,00 ; $697,00 ;Boomers
Albania;1994;female;55-74 years;1,00;174.600;0.57;Albania1994;; $1.985.673.798,00 ; $697,00 ;Silent
Albania;1994;male;5-14 years;1,00;371.800;0.27;Albania1994;; $1.985.673.798,00 ; $697,00 ;Millenials
Albania;1994;female;5-14 years;0,00;344.400;0,00;Albania1994;; $1.985.673.798,00 ; $697,00 ;Millenials
Albania;1995;male;25-34 years;13,00;232.900;5.58;Albania1995;0,619; $2.424.499.009,00 ; $835,00 ;Generation X
Albania;1995;male;55-74 years;9,00;178.000;5.06;Albania1995;0,619; $2.424.499.009,00 ; $835,00 ;Silent
Albania;1995;female;75+ years;2,00;40.800;4.9;Albania1995;0,619; $2.424.499.009,00 ; $835,00 ;G.I. Generation
Albania;1995;female;15-24 years;13,00;283.500;4.59;Albania1995;0,619; $2.424.499.009,00 ; $835,00 ;Generation X
Albania;1995;male;15-24 years;11,00;241.200;4.56;Albania1995;0,619; $2.424.499.009,00 ; $835,00 ;Generation X
Albania;1995;male;75+ years;1,00;25.100;3.98;Albania1995;0,619; $2.424.499.009,00 ; $835,00 ;G.I. Generation
Albania;1995;male;35-54 years;14,00;375.900;3.72;Albania1995;0,619; $2.424.499.009,00 ; $835,00 ;Boomers
Albania;1995;female;25-34 years;7,00;264.000;2.65;Albania1995;0,619; $2.424.499.009,00 ; $835,00 ;Generation X
Albania;1995;female;35-54 years;8,00;356.400;2.24;Albania1995;0,619; $2.424.499.009,00 ; $835,00 ;Boomers
Albania;1995;male;5-14 years;6,00;376.500;1.59;Albania1995;0,619; $2.424.499.009,00 ; $835,00 ;Millenials
Albania;1995;female;55-74 years;2,00;180.400;1.11;Albania1995;0,619; $2.424.499.009,00 ; $835,00 ;Silent
Albania;1995;female;5-14 years;2,00;348.700;0.57;Albania1995;0,619; $2.424.499.009,00 ; $835,00 ;Millenials
Albania;1996;male;75+ years;2,00;25.400;7.87;Albania1996;; $3.314.898.292,00 ; $1.127,00 ;G.I. Generation
Albania;1996;male;15-24 years;17,00;243.600;6.98;Albania1996;; $3.314.898.292,00 ; $1.127,00 ;Generation X
Albania;1996;male;25-34 years;14,00;235.300;5.95;Albania1996;; $3.314.898.292,00 ; $1.127,00 ;Generation X
Albania;1996;female;15-24 years;16,00;287.700;5.56;Albania1996;; $3.314.898.292,00 ; $1.127,00 ;Generation X
Albania;1996;female;75+ years;2,00;41.200;4.85;Albania1996;; $3.314.898.292,00 ; $1.127,00 ;G.I. Generation
Albania;1996;female;25-34 years;10,00;267.900;3.73;Albania1996;; $3.314.898.292,00 ; $1.127,00 ;Generation X
Albania;1996;male;35-54 years;12,00;379.600;3.16;Albania1996;; $3.314.898.292,00 ; $1.127,00 ;Boomers
Albania;1996;female;35-54 years;9,00;362.000;2.49;Albania1996;; $3.314.898.292,00 ; $1.127,00 ;Boomers
Albania;1996;male;55-74 years;3,00;179.900;1.67;Albania1996;; $3.314.898.292,00 ; $1.127,00 ;Silent
Albania;1996;female;55-74 years;1,00;183.100;0.55;Albania1996;; $3.314.898.292,00 ; $1.127,00 ;Silent
Albania;1996;male;5-14 years;2,00;380.400;0.53;Albania1996;; $3.314.898.292,00 ; $1.127,00 ;Millenials
Albania;1996;female;5-14 years;1,00;354.100;0.28;Albania1996;; $3.314.898.292,00 ; $1.127,00 ;Millenials
Albania;1997;male;25-34 years;36,00;236.000;15.25;Albania1997;; $2.359.903.108,00 ; $793,00 ;Generation X
Albania;1997;male;15-24 years;33,00;244.400;13.5;Albania1997;; $2.359.903.108,00 ; $793,00 ;Generation X
Albania;1997;male;75+ years;3,00;25.400;11.81;Albania1997;; $2.359.903.108,00 ; $793,00 ;G.I. Generation
Albania;1997;male;35-54 years;30,00;380.800;7.88;Albania1997;; $2.359.903.108,00 ; $793,00 ;Boomers
Albania;1997;female;15-24 years;21,00;294.000;7.14;Albania1997;; $2.359.903.108,00 ; $793,00 ;Generation X
Albania;1997;male;55-74 years;12,00;180.300;6.66;Albania1997;; $2.359.903.108,00 ; $793,00 ;Silent
Albania;1997;female;25-34 years;16,00;273.900;5.84;Albania1997;; $2.359.903.108,00 ; $793,00 ;Generation X
Albania;1997;female;75+ years;2,00;42.100;4.75;Albania1997;; $2.359.903.108,00 ; $793,00 ;G.I. Generation
Albania;1997;female;35-54 years;7,00;370.100;1.89;Albania1997;; $2.359.903.108,00 ; $793,00 ;Boomers
Albania;1997;female;5-14 years;6,00;361.800;1.66;Albania1997;; $2.359.903.108,00 ; $793,00 ;Millenials
Albania;1997;male;5-14 years;4,00;381.500;1.05;Albania1997;; $2.359.903.108,00 ; $793,00 ;Millenials
Albania;1997;female;55-74 years;0,00;187.000;0,00;Albania1997;; $2.359.903.108,00 ; $793,00 ;Silent
Albania;1998;male;75+ years;3,00;25.800;11.63;Albania1998;; $2.707.123.772,00 ; $899,00 ;G.I. Generation
Albania;1998;male;15-24 years;27,00;248.800;10.85;Albania1998;; $2.707.123.772,00 ; $899,00 ;Generation X
Albania;1998;female;15-24 years;32,00;295.600;10.83;Albania1998;; $2.707.123.772,00 ; $899,00 ;Generation X
Albania;1998;male;25-34 years;26,00;240.400;10.82;Albania1998;; $2.707.123.772,00 ; $899,00 ;Generation X
Albania;1998;male;35-54 years;29,00;388.200;7.47;Albania1998;; $2.707.123.772,00 ; $899,00 ;Boomers
Albania;1998;male;55-74 years;9,00;183.800;4.9;Albania1998;; $2.707.123.772,00 ; $899,00 ;Silent
Albania;1998;female;25-34 years;10,00;275.300;3.63;Albania1998;; $2.707.123.772,00 ; $899,00 ;Generation X
Albania;1998;female;55-74 years;6,00;188.200;3.19;Albania1998;; $2.707.123.772,00 ; $899,00 ;Silent
Albania;1998;female;35-54 years;9,00;372.100;2.42;Albania1998;; $2.707.123.772,00 ; $899,00 ;Boomers
Albania;1998;male;5-14 years;2,00;388.400;0.51;Albania1998;; $2.707.123.772,00 ; $899,00 ;Millenials
Albania;1998;female;5-14 years;1,00;363.800;0.27;Albania1998;; $2.707.123.772,00 ; $899,00 ;Millenials
Albania;1998;female;75+ years;0,00;42.300;0,00;Albania1998;; $2.707.123.772,00 ; $899,00 ;G.I. Generation
Albania;1999;male;75+ years;3,00;25.900;11.58;Albania1999;; $3.414.760.915,00 ; $1.127,00 ;G.I. Generation
Albania;1999;male;15-24 years;24,00;250.600;9.58;Albania1999;; $3.414.760.915,00 ; $1.127,00 ;Generation X
Albania;1999;female;75+ years;4,00;42.400;9.43;Albania1999;; $3.414.760.915,00 ; $1.127,00 ;G.I. Generation
Albania;1999;male;35-54 years;31,00;391.100;7.93;Albania1999;; $3.414.760.915,00 ; $1.127,00 ;Boomers
Albania;1999;male;25-34 years;19,00;242.300;7.84;Albania1999;; $3.414.760.915,00 ; $1.127,00 ;Generation X
Albania;1999;male;55-74 years;14,00;185.200;7.56;Albania1999;; $3.414.760.915,00 ; $1.127,00 ;Silent
Albania;1999;female;15-24 years;19,00;296.800;6.4;Albania1999;; $3.414.760.915,00 ; $1.127,00 ;Generation X
Albania;1999;female;25-34 years;13,00;276.500;4.7;Albania1999;; $3.414.760.915,00 ; $1.127,00 ;Generation X
Albania;1999;female;55-74 years;6,00;188.800;3.18;Albania1999;; $3.414.760.915,00 ; $1.127,00 ;Silent
Albania;1999;female;35-54 years;5,00;373.600;1.34;Albania1999;; $3.414.760.915,00 ; $1.127,00 ;Boomers
Albania;1999;female;5-14 years;1,00;365.200;0.27;Albania1999;; $3.414.760.915,00 ; $1.127,00 ;Millenials
Albania;1999;male;5-14 years;0,00;391.300;0,00;Albania1999;; $3.414.760.915,00 ; $1.127,00 ;Millenials
Albania;2000;male;25-34 years;17,00;232.000;7.33;Albania2000;0,656; $3.632.043.908,00 ; $1.299,00 ;Generation X
Albania;2000;male;55-74 years;10,00;177.400;5.64;Albania2000;0,656; $3.632.043.908,00 ; $1.299,00 ;Silent
Albania;2000;female;75+ years;2,00;37.800;5.29;Albania2000;0,656; $3.632.043.908,00 ; $1.299,00 ;G.I. Generation
Albania;2000;male;75+ years;1,00;24.900;4.02;Albania2000;0,656; $3.632.043.908,00 ; $1.299,00 ;G.I. Generation
Albania;2000;female;15-24 years;6,00;263.900;2.27;Albania2000;0,656; $3.632.043.908,00 ; $1.299,00 ;Generation X
Albania;2000;male;15-24 years;5,00;240.000;2.08;Albania2000;0,656; $3.632.043.908,00 ; $1.299,00 ;Generation X
Albania;2000;female;35-54 years;5,00;332.200;1.51;Albania2000;0,656; $3.632.043.908,00 ; $1.299,00 ;Boomers
Albania;2000;female;25-34 years;3,00;245.800;1.22;Albania2000;0,656; $3.632.043.908,00 ; $1.299,00 ;Generation X
Albania;2000;male;35-54 years;4,00;374.700;1.07;Albania2000;0,656; $3.632.043.908,00 ; $1.299,00 ;Boomers
Albania;2000;male;5-14 years;1,00;374.900;0.27;Albania2000;0,656; $3.632.043.908,00 ; $1.299,00 ;Millenials
Albania;2000;female;5-14 years;0,00;324.700;0,00;Albania2000;0,656; $3.632.043.908,00 ; $1.299,00 ;Millenials
Albania;2000;female;55-74 years;0,00;168.000;0,00;Albania2000;0,656; $3.632.043.908,00 ; $1.299,00 ;Silent
Albania;2001;male;25-34 years;22,00;206.484;10.65;Albania2001;; $4.060.758.804,00 ; $1.451,00 ;Generation X
Albania;2001;male;35-54 years;34,00;378.826;8.98;Albania2001;; $4.060.758.804,00 ; $1.451,00 ;Boomers
Albania;2001;male;55-74 years;11,00;196.670;5.59;Albania2001;; $4.060.758.804,00 ; $1.451,00 ;Silent
Albania;2001;female;75+ years;2,00;47.254;4.23;Albania2001;; $4.060.758.804,00 ; $1.451,00 ;Silent
Albania;2001;male;15-24 years;10,00;256.039;3.91;Albania2001;; $4.060.758.804,00 ; $1.451,00 ;Millenials
Albania;2001;female;15-24 years;9,00;271.359;3.32;Albania2001;; $4.060.758.804,00 ; $1.451,00 ;Millenials
Albania;2001;female;35-54 years;12,00;370.191;3.24;Albania2001;; $4.060.758.804,00 ; $1.451,00 ;Boomers
Albania;2001;male;75+ years;1,00;31.044;3.22;Albania2001;; $4.060.758.804,00 ; $1.451,00 ;Silent
Albania;2001;female;55-74 years;6,00;189.799;3.16;Albania2001;; $4.060.758.804,00 ; $1.451,00 ;Silent
Albania;2001;male;5-14 years;6,00;321.556;1.87;Albania2001;; $4.060.758.804,00 ; $1.451,00 ;Millenials
Albania;2001;female;25-34 years;4,00;222.771;1.8;Albania2001;; $4.060.758.804,00 ; $1.451,00 ;Generation X
Albania;2001;female;5-14 years;2,00;307.356;0.65;Albania2001;; $4.060.758.804,00 ; $1.451,00 ;Millenials
Albania;2002;male;75+ years;4,00;31.007;12.9;Albania2002;; $4.435.078.648,00 ; $1.573,00 ;Silent
Albania;2002;male;25-34 years;23,00;206.286;11.15;Albania2002;; $4.435.078.648,00 ; $1.573,00 ;Generation X
Albania;2002;male;35-54 years;35,00;382.139;9.16;Albania2002;; $4.435.078.648,00 ; $1.573,00 ;Boomers
Albania;2002;male;55-74 years;13,00;198.130;6.56;Albania2002;; $4.435.078.648,00 ; $1.573,00 ;Silent
Albania;2002;male;15-24 years;15,00;263.067;5.7;Albania2002;; $4.435.078.648,00 ; $1.573,00 ;Millenials
Albania;2002;female;15-24 years;14,00;275.970;5.07;Albania2002;; $4.435.078.648,00 ; $1.573,00 ;Millenials
Albania;2002;female;35-54 years;15,00;375.113;4,00;Albania2002;; $4.435.078.648,00 ; $1.573,00 ;Boomers
Albania;2002;female;25-34 years;7,00;223.685;3.13;Albania2002;; $4.435.078.648,00 ; $1.573,00 ;Generation X
Albania;2002;female;75+ years;1,00;47.407;2.11;Albania2002;; $4.435.078.648,00 ; $1.573,00 ;Silent
Albania;2002;female;55-74 years;4,00;191.712;2.09;Albania2002;; $4.435.078.648,00 ; $1.573,00 ;Silent
Albania;2002;female;5-14 years;1,00;304.850;0.33;Albania2002;; $4.435.078.648,00 ; $1.573,00 ;Millenials
Albania;2002;male;5-14 years;1,00;319.473;0.31;Albania2002;; $4.435.078.648,00 ; $1.573,00 ;Millenials
Albania;2003;female;75+ years;6,00;49.088;12.22;Albania2003;; $5.746.945.913,00 ; $2.021,00 ;Silent
Albania;2003;male;55-74 years;16,00;201.520;7.94;Albania2003;; $5.746.945.913,00 ; $2.021,00 ;Silent
Albania;2003;male;35-54 years;28,00;386.196;7.25;Albania2003;; $5.746.945.913,00 ; $2.021,00 ;Boomers
Albania;2003;male;15-24 years;15,00;273.235;5.49;Albania2003;; $5.746.945.913,00 ; $2.021,00 ;Millenials
Albania;2003;female;15-24 years;14,00;283.709;4.93;Albania2003;; $5.746.945.913,00 ; $2.021,00 ;Millenials
Albania;2003;female;55-74 years;9,00;195.699;4.6;Albania2003;; $5.746.945.913,00 ; $2.021,00 ;Silent
Albania;2003;male;25-34 years;9,00;205.433;4.38;Albania2003;; $5.746.945.913,00 ; $2.021,00 ;Generation X
Albania;2003;female;25-34 years;9,00;222.941;4.04;Albania2003;; $5.746.945.913,00 ; $2.021,00 ;Generation X
Albania;2003;female;35-54 years;13,00;381.760;3.41;Albania2003;; $5.746.945.913,00 ; $2.021,00 ;Boomers
Albania;2003;male;75+ years;1,00;32.667;3.06;Albania2003;; $5.746.945.913,00 ; $2.021,00 ;Silent
Albania;2003;male;5-14 years;4,00;313.204;1.28;Albania2003;; $5.746.945.913,00 ; $2.021,00 ;Millenials
Albania;2003;female;5-14 years;0,00;298.477;0,00;Albania2003;; $5.746.945.913,00 ; $2.021,00 ;Millenials
Albania;2004;male;75+ years;4,00;35.526;11.26;Albania2004;; $7.314.865.176,00 ; $2.544,00 ;Silent
Albania;2004;male;35-54 years;39,00;391.767;9.95;Albania2004;; $7.314.865.176,00 ; $2.544,00 ;Boomers
Albania;2004;male;25-34 years;16,00;203.938;7.85;Albania2004;; $7.314.865.176,00 ; $2.544,00 ;Generation X
Albania;2004;female;15-24 years;20,00;292.268;6.84;Albania2004;; $7.314.865.176,00 ; $2.544,00 ;Millenials
Albania;2004;male;15-24 years;19,00;286.768;6.63;Albania2004;; $7.314.865.176,00 ; $2.544,00 ;Millenials
Albania;2004;female;75+ years;3,00;50.970;5.89;Albania2004;; $7.314.865.176,00 ; $2.544,00 ;Silent
Albania;2004;female;25-34 years;11,00;222.389;4.95;Albania2004;; $7.314.865.176,00 ; $2.544,00 ;Generation X
Albania;2004;male;55-74 years;10,00;207.202;4.83;Albania2004;; $7.314.865.176,00 ; $2.544,00 ;Silent
Albania;2004;female;35-54 years;17,00;391.436;4.34;Albania2004;; $7.314.865.176,00 ; $2.544,00 ;Boomers
Albania;2004;female;55-74 years;3,00;203.841;1.47;Albania2004;; $7.314.865.176,00 ; $2.544,00 ;Silent
Albania;2004;female;5-14 years;3,00;286.705;1.05;Albania2004;; $7.314.865.176,00 ; $2.544,00 ;Millenials
Albania;2004;male;5-14 years;1,00;302.181;0.33;Albania2004;; $7.314.865.176,00 ; $2.544,00 ;Millenials
Albania;2005;female;15-24 years;0,00;281.922;0,00;Albania2005;0,695; $8.158.548.717,00 ; $2.931,00 ;Millenials
Albania;2005;female;25-34 years;0,00;190.745;0,00;Albania2005;0,695; $8.158.548.717,00 ; $2.931,00 ;Generation X
Albania;2005;female;35-54 years;0,00;386.513;0,00;Albania2005;0,695; $8.158.548.717,00 ; $2.931,00 ;Boomers
Albania;2005;female;5-14 years;0,00;276.559;0,00;Albania2005;0,695; $8.158.548.717,00 ; $2.931,00 ;Millenials
Albania;2005;female;55-74 years;0,00;210.998;0,00;Albania2005;0,695; $8.158.548.717,00 ; $2.931,00 ;Silent
Albania;2005;female;75+ years;0,00;53.191;0,00;Albania2005;0,695; $8.158.548.717,00 ; $2.931,00 ;Silent
Albania;2005;male;15-24 years;0,00;281.675;0,00;Albania2005;0,695; $8.158.548.717,00 ; $2.931,00 ;Millenials
Albania;2005;male;25-34 years;0,00;177.519;0,00;Albania2005;0,695; $8.158.548.717,00 ; $2.931,00 ;Generation X
Albania;2005;male;35-54 years;0,00;380.242;0,00;Albania2005;0,695; $8.158.548.717,00 ; $2.931,00 ;Boomers
Albania;2005;male;5-14 years;0,00;291.367;0,00;Albania2005;0,695; $8.158.548.717,00 ; $2.931,00 ;Millenials
Albania;2005;male;55-74 years;0,00;214.118;0,00;Albania2005;0,695; $8.158.548.717,00 ; $2.931,00 ;Silent
Albania;2005;male;75+ years;0,00;38.471;0,00;Albania2005;0,695; $8.158.548.717,00 ; $2.931,00 ;Silent
Albania;2006;female;15-24 years;0,00;283.138;0,00;Albania2006;; $8.992.642.349,00 ; $3.235,00 ;Millenials
Albania;2006;female;25-34 years;0,00;186.391;0,00;Albania2006;; $8.992.642.349,00 ; $3.235,00 ;Generation X
Albania;2006;female;35-54 years;0,00;388.746;0,00;Albania2006;; $8.992.642.349,00 ; $3.235,00 ;Boomers
Albania;2006;female;5-14 years;0,00;267.316;0,00;Albania2006;; $8.992.642.349,00 ; $3.235,00 ;Millenials
Albania;2006;female;55-74 years;0,00;215.907;0,00;Albania2006;; $8.992.642.349,00 ; $3.235,00 ;Silent
Albania;2006;female;75+ years;0,00;56.011;0,00;Albania2006;; $8.992.642.349,00 ; $3.235,00 ;Silent
Albania;2006;male;15-24 years;0,00;286.679;0,00;Albania2006;; $8.992.642.349,00 ; $3.235,00 ;Millenials
Albania;2006;male;25-34 years;0,00;174.092;0,00;Albania2006;; $8.992.642.349,00 ; $3.235,00 ;Generation X
Albania;2006;male;35-54 years;0,00;379.076;0,00;Albania2006;; $8.992.642.349,00 ; $3.235,00 ;Boomers
Albania;2006;male;5-14 years;0,00;282.678;0,00;Albania2006;; $8.992.642.349,00 ; $3.235,00 ;Millenials
Albania;2006;male;55-74 years;0,00;219.360;0,00;Albania2006;; $8.992.642.349,00 ; $3.235,00 ;Silent
Albania;2006;male;75+ years;0,00;40.782;0,00;Albania2006;; $8.992.642.349,00 ; $3.235,00 ;Silent
Albania;2007;male;75+ years;8,00;42.366;18.88;Albania2007;; $10.701.011.897,00 ; $3.863,00 ;Silent
Albania;2007;male;35-54 years;29,00;378.626;7.66;Albania2007;; $10.701.011.897,00 ; $3.863,00 ;Boomers
Albania;2007;male;55-74 years;14,00;224.160;6.25;Albania2007;; $10.701.011.897,00 ; $3.863,00 ;Silent
Albania;2007;female;75+ years;3,00;57.404;5.23;Albania2007;; $10.701.011.897,00 ; $3.863,00 ;Silent
Albania;2007;male;25-34 years;9,00;172.494;5.22;Albania2007;; $10.701.011.897,00 ; $3.863,00 ;Generation X
Albania;2007;female;15-24 years;13,00;281.080;4.63;Albania2007;; $10.701.011.897,00 ; $3.863,00 ;Millenials
Albania;2007;male;15-24 years;13,00;288.349;4.51;Albania2007;; $10.701.011.897,00 ; $3.863,00 ;Millenials
Albania;2007;female;25-34 years;8,00;183.629;4.36;Albania2007;; $10.701.011.897,00 ; $3.863,00 ;Generation X
Albania;2007;female;55-74 years;9,00;221.120;4.07;Albania2007;; $10.701.011.897,00 ; $3.863,00 ;Silent
Albania;2007;female;35-54 years;14,00;391.811;3.57;Albania2007;; $10.701.011.897,00 ; $3.863,00 ;Boomers
Albania;2007;male;5-14 years;4,00;272.497;1.47;Albania2007;; $10.701.011.897,00 ; $3.863,00 ;Generation Z
Albania;2007;female;5-14 years;0,00;256.808;0,00;Albania2007;; $10.701.011.897,00 ; $3.863,00 ;Generation Z
Albania;2008;male;25-34 years;21,00;172.855;12.15;Albania2008;; $12.881.352.688,00 ; $4.672,00 ;Generation X
